239.329400us| 27 |61 
222.278200us| 48 |17 
202.601000us| 26 |37 
208.611200us| 64 |84 
223.382000us| 5 |28 
220.673800us| 63 |91 
218.559200us| 18 |97 
215.788000us| 61 |64 
218.007000us| 86 |55 
219.475800us| 43 |10 
