1940.510600us| 68 35 22 78 98 27 1 60 |39 
1956.781000us| 19 38 90 23 55 32 28 8 |53 
1776.086000us| 22 62 20 58 44 46 59 48 |5 
3455.538600us| 82 64 67 16 83 6 41 87 |71 
2204.569200us| 41 77 35 21 82 95 7 40 |84 
3121.554000us| 10 96 87 84 7 88 62 80 |50 
2604.697800us| 79 58 97 12 62 78 24 66 |92 
2527.959400us| 74 85 49 99 42 83 66 50 |17 
3078.627400us| 82 87 55 69 6 48 40 70 |0 
2429.034200us| 27 18 32 22 51 56 69 72 |13 
